y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
-3.46162,-5.53033,-0.03745,0.2093,0.3848,-3.51835,-3.6625,-3.0491,0.92795,-0.1037,0.054229999999999993,-0.5,-1.36988,0.0,0.9234899999999999,-0.12617,-1.5535700000000001,1.15361,1.0,2.53145,0.0,0.16852,0.3284,-0.15586,1.45484,-0.13634000000000002,-3.94949,-0.5253,-3.33333,2.66927,-5.12814,1.33047,-0.12922,-1.1725,-0.96254,3.8,-0.5,-2.54905,3.51214,3.7848800000000002,5.97788,-0.50279,1.9433900000000002,-1.0,-4.5596,0.38529,0.43582,-2.49859,0.20349,5.08648
0.24170999999999998,-4.49388,0.01505,-0.37103,0.39485,-3.5928199999999997,-3.02398,-2.62261,0.8591700000000001,-0.09195,-0.00673,-0.5,1.7444400000000002,0.0,0.75616,-0.11752,-1.7065700000000001,-0.58196,-1.0,3.07423,0.0,0.21985,-0.10239,-0.15369000000000002,1.57124,-0.12993,-3.1145099999999997,-0.51275,4.5,2.83177,-4.1341,1.5852,-0.11458,-7.91978,-1.54236,-15.0,-0.4814,-2.89675,1.2862799999999999,0.09735,3.78931,-0.09859,1.91812,-0.88876,-2.9891099999999997,0.04827,0.08123,1.36104,-6.52139,1.1764299999999999
7.0975600000000005,1.03515,0.10159,0.0,-0.20754,-0.45976999999999996,2.3369,0.05889,0.7602300000000001,-0.08258,0.03852,0.5,2.1312,0.0,0.61393,-0.11719,-1.8545,-0.40156,1.0,1.76275,0.0,-0.97531,0.19508,-0.15329,1.3136700000000001,-0.13019,1.54975,-0.55462,0.0,2.57516,-1.1229799999999999,-0.77476,-0.10294,1.8098900000000002,-1.20404,-2.2,-0.49756000000000006,-0.6724899999999999,-2.94782,0.48741999999999996,-0.39902,-0.03636,-1.09704,1.0,-1.7733400000000001,-0.23089,-0.35115999999999997,2.0146599999999997,-3.6818199999999996,0.02922
4.327719999999999,-2.38824,0.07261000000000001,-1.3599299999999999,-0.85367,1.6979400000000002,2.79202,-0.34770999999999996,0.69609,0.7961600000000001,0.058710000000000005,0.21191999999999997,-1.37568,0.0,0.42712,-0.11358,-0.66275,-0.31185999999999997,-1.0,-0.4086,0.0,-0.79748,-0.101,-0.14770999999999998,0.9079,-0.1265,2.6505099999999997,-0.76636,-4.66667,1.7409599999999998,3.35905,-0.27078,0.7148,0.73752,-0.86301,4.6,-0.48465,1.8201599999999998,-1.62463,-4.10942,-0.39847,-0.15888,-1.1451799999999999,-0.77756,-3.26185,-0.10761,-0.13504000000000002,1.1008,0.18387,-2.0962099999999997
5.82188,-2.0691599999999997,0.07229,-0.59553,-0.18278,2.11618,2.78627,0.9643200000000001,0.62968,0.69439,-0.02995,0.15069000000000002,1.60161,0.0,0.40042,-0.11044000000000001,0.8966299999999999,-0.84596,-1.0,-1.8291099999999998,0.0,-0.47322,-0.85146,-0.14343,-0.86162,-0.12382,2.80591,0.72883,-0.33333,1.5943,4.44232,-0.88897,0.6332399999999999,0.44354,-0.66003,5.2,0.38275,3.40985,-3.21178,-5.9667,-10.35011,0.26531,-2.0123,0.44414,-2.87396,-0.09307,0.16676,0.1392,0.87821,-2.90145
5.67365,-3.26058,0.035910000000000004,0.00394,-1.41008,1.3161200000000002,1.74958,2.8074,0.57484,0.57187,-0.060160000000000005,0.5,-2.03575,0.0,0.27996,0.27099,2.4,-1.7731400000000002,1.0,-2.2343599999999997,0.0,-1.03474,-0.54342,0.07103,-0.8868799999999999,0.31173,2.43603,1.26889,-5.5,1.1280700000000001,4.65602,-2.73811,0.5312899999999999,1.30706,-1.41886,-8.8,0.49646,3.86134,-3.63226,-1.32415,-10.14259,0.656,-2.59383,1.0,-3.2416400000000003,-0.19013,0.12822,1.27633,-1.8086400000000002,-6.66568
-4.723730000000001,-4.920319999999999,0.02563,0.0,-0.57439,-0.69062,-1.8632799999999998,2.7576,0.9608,0.51073,-0.03418,0.5,-2.55158,0.0,0.2276,0.15427000000000002,2.1675,-2.5188599999999997,0.62502,-2.86387,-5.56519,-0.056179999999999994,-0.17865,0.30939,-0.8868799999999999,0.30530999999999997,-1.66507,-0.21053000000000002,6.0,0.80382,2.48241,-1.9196900000000001,0.42898000000000003,15.92351,-1.9035099999999998,4.8,0.5,4.618469999999999,-2.46359,5.43233,-13.11059,0.68056,-2.47382,1.0,-1.2919,-0.31209000000000003,-0.07685,1.82455,-3.37264,-9.96353
-4.46663,-5.47497,-0.029939999999999998,1.1843700000000001,0.14299,-2.20064,-2.8357,-2.9567,0.96375,-0.36733000000000005,0.027180000000000003,-0.5,-1.45756,0.0,0.27018000000000003,0.2499,-0.75349,-0.40714,-1.0,1.30502,-6.07795,0.00054,0.01318,0.28291,-0.8868799999999999,0.32541,-3.11816,1.02213,1.0,0.89291,-3.69964,1.3330600000000001,-0.38759,-10.186539999999999,0.9392,-4.4,-0.41036999999999996,-1.9755,2.91114,2.27136,1.19268,-0.47945,1.9820799999999998,-0.8887299999999999,-2.50366,-0.09261,-0.02556,0.79225,-0.24570999999999998,-2.97666
0.9412,-5.84898,-0.01589,0.713,-0.09982,-2.79013,-3.1621,-0.86013,0.96629,-0.3673,-0.04916,-0.5,-1.34136,0.0,0.21861,0.26605999999999996,-0.52963,0.59617,-1.0,2.3444,-5.7287,0.21349,-0.42533000000000004,0.29277,0.71322,0.31955,-3.5996099999999998,-1.07061,5.6,0.8537899999999999,-4.68114,1.1049200000000001,0.36727,-2.5231,0.14139000000000002,-3.4,-0.38598000000000005,-3.36415,4.77503,2.29413,9.1504,-0.25,2.07668,-1.0,-2.61504,-0.02174,-0.26818000000000003,-0.58706,0.47268000000000004,2.32966
3.3719699999999997,-6.02744,-0.01881,0.64404,0.19443,-3.52041,-3.6429699999999996,-1.37846,0.9680799999999999,0.4084,-0.09924,-0.5,-2.07479,0.0,0.23990999999999998,0.25941,-1.6921599999999999,0.95575,-0.63635,2.40835,-5.81918,0.37076,-0.25348000000000004,0.31356999999999996,0.9313299999999999,0.29375,-3.92899,-1.30423,-4.5,0.9234899999999999,-5.49676,0.73647,0.44888,-3.01475,-0.944,11.0,-0.49498000000000003,-0.21882,2.91394,3.95991,0.0,-0.41071,1.27169,-0.7003199999999999,-4.31594,0.5,0.37792,-3.8008300000000004,8.57962,8.44074
5.57279,-6.23004,0.03436,1.91592,-0.35133000000000003,-3.31199,-3.79114,-0.43899,1.0,0.51032,0.0008900000000000001,0.5,-1.6864700000000001,0.0,0.24998,0.28078000000000003,1.14737,-0.58618,1.0,-0.06866,-5.79955,-0.2416,0.4365,0.32175,1.25601,0.30838000000000004,-4.3558699999999995,1.1848299999999998,-5.0,1.18972,-5.81568,-0.38395999999999997,0.55091,1.8750200000000001,0.9212799999999999,-0.2,0.1696,0.6985100000000001,1.3159,3.4485300000000003,2.5844400000000003,-0.53947,-0.59336,-0.33324000000000004,-4.3369599999999995,0.5,0.53854,-3.06895,3.54969,4.89166
-3.21945,-5.64623,0.0642,0.0,0.51027,-3.73795,-3.94821,0.48883000000000004,1.0,0.61237,-0.008140000000000001,0.34392,1.69888,0.0,0.20988,0.28465999999999997,0.18889,0.46025,-1.0,0.32379,-5.4499,0.47053,-0.00942,0.34829,1.34309,0.29711,-4.3590800000000005,-1.27216,6.5,1.00066,-5.4019,-0.53719,0.65298,-1.33991,-0.51376,0.6,0.27333,1.44826,0.01072,2.97222,-2.3833599999999997,0.014490000000000001,-1.52715,-0.66647,-4.04231,0.4832,0.29744,-2.5958200000000002,2.5434799999999997,-1.18458
4.11359,-5.39916,0.07003,0.0,0.5555899999999999,-3.6993699999999996,-3.8883,-0.19229000000000002,0.9625,0.69402,-0.06019,-0.5,-0.27297,0.0,0.33834000000000003,0.27418000000000003,-0.10247,0.8804799999999999,-1.0,0.92591,-5.58664,0.16034,-0.6562899999999999,0.32611,1.4419799999999998,0.30530999999999997,-4.33173,-2.28629,-3.5,1.05545,-5.31226,1.28919,0.73461,-2.47142,-0.1363,0.4,0.28415,-2.77923,1.7891299999999999,-2.83879,4.76938,0.12697999999999998,1.86048,0.5554,-3.39874,0.21679,0.18937,-1.22278,-0.28523000000000004,-0.65088
-5.61583,-5.157769999999999,0.06981,0.39641,-0.67814,-3.3442,-3.80766,2.0523,1.0,0.79614,-0.08161,0.32988,-1.4289,-4.99756,0.50541,0.27051,1.24394,-1.50619,1.0,-1.22445,-5.81501,-0.33461,-0.16946,0.34368000000000004,1.61222,0.31523,-4.320469999999999,1.15816,1.0,2.21977,-5.23532,-0.76122,0.83662,2.79779,0.08336,12.4,0.5,1.56667,-0.39385,0.50155,-3.7725400000000002,0.36791999999999997,-1.16781,0.77779,-4.282719999999999,0.43228,0.43998000000000004,-3.07437,6.26932,2.92468
-2.86905,-5.08153,0.03161,0.0047,0.66296,-3.53594,-3.09102,-2.1198900000000003,1.0,0.8368,-0.02435,-0.5,-1.3071,0.42961000000000005,0.61406,0.31359000000000004,-1.12449,1.0593,1.0,1.898,-5.5633099999999995,0.01228,-0.17848,0.41466000000000003,1.31723,0.37282,-3.88009,1.04036,11.5,2.76799,-4.47832,1.12937,0.8775200000000001,-0.00359,-1.7195,-17.6,-0.42736,-2.77075,0.56261,1.17216,5.96232,-0.25926,1.55216,-1.0,-4.653580000000001,0.459,0.23415999999999998,-3.2939300000000005,2.9697,9.73022
0.007940000000000001,-2.09837,-0.03978,-0.81915,1.80168,-1.58972,1.29492,-0.8990799999999999,0.64635,0.83668,0.02982,-0.5,2.10542,-0.32428,0.47139,0.39871999999999996,-1.15333,0.40806,-1.0,-0.23551,-5.94856,0.26353000000000004,0.40096,0.38498000000000004,1.1101,0.47966000000000003,-1.31827,-0.96872,5.5,2.6204,-1.59216,1.13652,0.83675,-0.36254000000000003,-1.01142,-14.2,-0.4822,-1.2886,-1.50027,-1.19127,0.7954,-0.52174,1.12061,-1.0,-3.40973,0.29139,0.06402999999999999,-2.57418,-3.12439,3.87773
1.60437,1.7786799999999998,-0.07112,-0.45697,0.26743,2.5447900000000003,2.65452,-0.87151,0.6625,0.75512,0.10979000000000001,-0.41086000000000006,0.79585,1.74222,0.40409,0.24889,0.31351,0.41353999999999996,-1.0,-0.88907,-5.8745199999999995,0.13681,0.8345299999999999,0.30156,0.67966,0.3639,2.65995,1.1667399999999999,-6.5,2.0768,3.4523800000000002,0.51266,0.755,0.94432,-1.0221200000000001,-5.0,0.27969,-0.42667,-1.3402,-4.62869,3.5798099999999997,0.030930000000000003,0.9214100000000001,0.7772600000000001,-2.84875,0.010159999999999999,-0.5895699999999999,1.8953799999999998,-7.56557,-0.9072899999999999
-5.46513,1.19272,-0.0778,0.0,-0.7296199999999999,3.24325,3.0301400000000003,1.78972,0.6625,0.65313,0.08557999999999999,0.5,-1.4357600000000001,5.06524,0.31814000000000003,0.15944,1.14906,-2.10878,1.0,-0.95655,-5.83153,-0.26086,0.38635,0.28354,-0.69417,0.32526,2.75966,1.23613,-5.0,1.7715599999999998,4.24587,-2.51701,0.65299,10.40643,-0.02002,-11.0,0.45197,1.5711899999999999,-1.7539799999999999,-3.3500900000000002,-3.97741,0.40984,-2.20835,0.66719,-1.70175,-0.17235999999999999,-0.67435,2.42398,-6.08154,-2.93
1.1296899999999999,2.2920599999999998,-0.02348,-0.72544,-0.68176,3.74134,3.5962099999999997,1.19119,0.66252,0.57152,-0.01786,0.47498999999999997,1.49255,7.51003,0.15783,0.11135999999999999,0.55686,0.5993,1.0,0.25490999999999997,-5.38249,-0.07702,-0.05392,0.21466,-0.89899,0.2165,3.48915,-0.6914600000000001,-6.0,0.9119799999999999,5.43025,-0.69092,0.57133,5.40303,-0.59867,-16.6,0.37417,-1.7283400000000002,-0.35039000000000003,-0.48773,0.9953200000000001,0.21839,-0.67068,0.55566,-2.30436,0.01965,-0.22714,-1.26366,1.0062799999999998,5.59869
-0.049089999999999995,2.03307,0.00937,-0.43027,0.017669999999999998,3.53904,3.48138,1.40764,0.6625,-0.48977,-0.016130000000000002,0.5,-1.33128,10.940489999999999,-0.01384,0.01891,-2.17937,1.36789,-1.0,1.11384,-4.11267,-1.03719,0.0008699999999999999,0.12364000000000001,-1.25156,0.08338,3.43842,-1.21391,-3.5,-0.05078,4.8742,-0.44932,-0.53068,2.70079,-0.91751,4.0,-0.5,1.8055299999999999,-0.92461,1.5010299999999999,-3.97986,-0.41428999999999994,-1.24376,-0.77789,-1.96786,-0.19955,-0.09502000000000001,1.90362,-0.40323000000000003,-1.62829
